name,category,description,retail_price,bulk_price,bulk_min_qty,is_bulk_available,featured,stock_status,variants
XY SOLAR INTERACTION RECHARGEABLE WALL LAMP,solar,"Illuminate your outdoor spaces with the XY SOLAR INTERACTION RECHARGEABLE WALL LAMP. This innovative lamp harnesses solar energy, ensuring an eco-friendly and cost-effective lighting solution. Thanks to its rechargeable feature, it provides reliable illumination even on cloudy days or during power outages.",280,,,true,false,in_stock,
6'' TURBO FLEX 360 DEGREE FAUCET SPRAYER,accessories,"Turbo Flex 360 quickly upgrades your ordinary faucet into a flexible hands-free sprayer with extended reach! The dual function Stream & Spray makes for easier cleaning of odd size objects and rinsing out the sink. Great for rinsing fruits and veggies, filling tall vases, shampooing hair and more.",250,,,true,false,in_stock,
Pest Killer 6W,accessories,"Description Mosquitoes and other flying insects still bugging you all day long. Now's the perfect time to give our Electric Insect Killer a go. This Electric Insect Killer uses UV-A technology to attract house flies, mosquitoes and other flying insects and zaps them once they touch the high voltage inner grid.",485,,,true,false,in_stock,
Pest Killer 2W,accessories,"Description Mosquitoes and other flying insects still bugging you all day long. Now's the perfect time to give our Electric Insect Killer a go. This Electric Insect Killer uses UV-A technology to attract house flies, mosquitoes and other flying insects and zaps them once they touch the high voltage inner grid.",385,,,true,false,in_stock,
"1.8m UHD UNIVERSAL USB TYPE-C to HDMI AM CABLE, USB C TO DISPLAY PORT 4K, MULTIFUNCTIONAL DATA CABLE",accessories,"Ready to elevate your viewing experience to the next level? Introducing our cutting-edge USB Type-C to HDMI Adapter, the ultimate solution for seamless connectivity and stunning visual clarity. Description : Say goodbye to pixelated screens and hello to crystal-clear resolution!",385,,,true,false,in_stock,
MAGNETIC 10 000MAH WIRELESS POWER BANK - KP-92,chargers,"Charge on the go with the KLGO 10000mAh Wireless Power Bank. Compact, fast charging for multiple devices! The KLGO 10000mAh Wireless Power Bank offers fast, convenient charging for multiple devices, featuring wireless charging and USB/Type-C/Micro cable outputs.",599,,,true,false,in_stock,
23x17x17cm DIGITAL SECURITY ELECTRONIC SAFE BOX,accessories,"Secure your valuables with the 23x17x17cm Digital Security Electronic Safe Box from TECH WHOLESALE. Our safe box is designed to offer top-notch security, featuring a robust electronic locking system to safeguard your important items. Perfectly compact yet incredibly durable, it seamlessly fits into your home or office setup, ensuring peace of mind.",999,,,true,false,in_stock,
5W USB RECHARGEABLE 6-BLADE LINT REMOVER,accessories,"Upgraded 6-Leaf Precision Steel Blade Features six ultra-sharp precision steel blades for efficient and even lint removal. Rotates at high speed to quickly remove lint, fuzz, and fabric pills from clothing, furniture, and upholstery. Rated Power: 3.7V Powered by a 3.7V rechargeable battery for cordless convenience.",375,,,true,false,in_stock,
MIKUSO CORDIE-1 NOTEBOOK COOLING PAD,accessories,"Elevate your laptop experience with the MIKUSO CORDIE-1 NOTEBOOK COOLING PAD. This ultra-efficient cooling pad lowers your laptop's temperature, ensuring optimal performance and longevity. Ideal for professionals and gamers alike, it features a sleek design with whisper-quiet fan and customizable cooling settings.",365,,,true,false,in_stock,
4 SLOT SMART BATTERY CHARGER - HD-8992C,chargers,"Discover the innovation of the 4 SLOT SMART BATTERY CHARGER - HD-8992C, designed to keep your devices powered at all times. At TECH WHOLESALE, we prioritize efficiency and quality, making this charger a top choice for our tech-savvy customers. With intelligent charging technology, it optimizes battery life and ensures a rapid, safe charge.",380,,,true,false,in_stock,
9V PORTABLE HAND-HELD METAL DETECTOR - SUPER SCANNER SECURITY WAND (NON RECHARGEABLE),cctv,"Hand Held Metal Detector- Multi Function The Super Scanner Is A High Performance Metal Detector Designed To Meet The Exact Needs Of The Security Industry. Typical Uses Will Include Body Search For Weapons In Crowd Control, Airport And Border Security, Checking Parcels And Letters For Metal Objects Or Anywhere Where Hidden Metals May Be Found. Features: - 9V Battery (Not Included) - Visual And A...",399,,,true,false,in_stock,
WIRELESS 2.4Ghz KEYBOARD AND MOUSE SUITE WB-8068,accessories,"Discover the Wireless 2.4Ghz Keyboard Mouse Set WB-8068 at TECH WHOLESALE, designed for seamless productivity and comfort. This sleek, ergonomic set offers a clutter-free experience, perfect for both home and office use. Connect effortlessly with its reliable wireless technology, enhancing your workflow without the tangle of cords.",399,,,true,false,in_stock,
1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (BLACK),accessories,"The 1.2L insulated tumbler will keep you hydrated all day! Because it is made of premium 18/8 food-grade stainless steel, this roomy and fashionable tumbler will keep your drinks at the ideal temperature for hours. With a smooth, ergonomic handle for effortless carrying and a rust-resistant finish, the sturdy construction is made to last.",169,,,true,false,in_stock,
1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (PINK),accessories,"The 1.2L insulated tumbler will keep you hydrated all day! Because it is made of premium 18/8 food-grade stainless steel, this roomy and fashionable tumbler will keep your drinks at the ideal temperature for hours. With a smooth, ergonomic handle for effortless carrying and a rust-resistant finish, the sturdy construction is made to last.",169,,,true,false,in_stock,
12 DIGIT SOLAR ELECTRIC CALCULATOR WITH 240 FUNCTIONS,solar,"Experience efficiency and versatility with our 12 Digit Solar Electric Calculator featuring an impressive 240 functions - a must-have for professionals and students alike. We prioritize innovation and practicality, delivering products that enhance your productivity. Our solar-powered calculator ensures uninterrupted performance while offering extensive computational capabilities.",199,,,true,false,in_stock,
"MAGNIFIER WITH AUXILIARY CLIP AND 5 LED LIGHT, AC/DC INTERCHANGEABLE",accessories,"Discover the perfect companion for precision work with the MAGNIFIER WITH AUXILIARY CLIP AND 5 LED LIGHT, AC/DC INTERCHANGEABLE. This versatile tool offers hands-free magnification, ideal for hobbyists, DIY enthusiasts, and professionals alike. Equipped with bright 5 LED lights, it guarantees optimal visibility in any setting.",599,,,true,false,in_stock,
10W SOLAR WIRELESS RECGARGEABLE SPEAKER WITH TORCH - HF-F81,solar,"Experience the ultimate in convenience and innovation with the HF-F81 Solar Powered Wireless Portable Speaker with Torch. Ideal for outdoor enthusiasts and tech lovers alike, this versatile device offers superior audio quality combined with the practicality of a built-in torch and solar panel. Harnessing solar energy, it ensures uninterrupted entertainment without the hassle of replacing batter...",599,,,true,false,in_stock,
DALING PROFESSIONAL HAIR CLIPPERS DL-1072,accessories,"Experience precision and power with the DALING PROFESSIONAL HAIR CLIPPERS DL-1072. Designed for both professional stylists and home grooming enthusiasts, this clipper offers unmatched cutting performance with its high-torque motor and ultra-sharp blades. Enjoy effortless trimming and styling, thanks to the ergonomic design, it caters to all hair types.",365,,,true,false,in_stock,
GD PLUS SOLAR FLOOD LIGHT - GD-2202,solar,"Elevate Your Outdoor Lighting with Our Solar Flood Light Introducing our Solar Flood Light, a powerful and energy-efficient outdoor lighting solution that brings brightness and security to your home, garden, or commercial space. This versatile light is designed to provide reliable illumination, ease of installation, and eco-friendly operation, making it a valuable addition to your outdoor envir...",699,,,true,true,in_stock,
INTELLIGENT MOITORING CAMERA MINI WIFI IP CAMERA WITH MOTION DETECTION - YJ-B06,cctv,"The Mini WIFI IP Camera with Motion Detection and Night Vision in White offers a compact and efficient solution for home or office surveillance. With motion detection, it triggers automatic recording when movement is detected, while its night vision capability ensures clear footage in low-light conditions. The camera's Wi-Fi connectivity allows for easy remote viewing and control via a smartpho...",385,,,true,false,in_stock,
"1080p 2MP Color View Bullet Surveillance Camera, Full colour night vision 20m outdoor",cctv,"HiLook ColorVu cameras are 2 MP cameras with 1920 × 1080 resolution and 24/7 color imaging. They have an F1.0 aperture, 0.001 Lux illumination, and a shutter time of 1/25 s to 1/50,000 s for PAL and 1/30 s to 1/50,000 s for NTSC. They can operate in temperatures ranging from -40°C to 60°C (-40°F to 140°F) and humidity of 90% or less (non-condensing).",569,,,true,true,in_stock,
AO 1080P 1x2 HDMI SPLITTER VERSION 1.4,routers,"We are excited to present the AOWEIXUN ORVESION 1080P 1x2 HDMI Splitter Version 1.4, an essential device for seamless high-definition video distribution. Perfect for home theatre systems, gaming setups, or multi-display environments, this splitter effortlessly distributes one HDMI input to two HDMI outputs without signal loss. Enjoy crystal-clear 1080P resolution with uncompromised audio qualit...",465,,,true,false,in_stock,
AO 1080P 1x4 HDMI SPLITTER VERSION 1.4,routers,"We are excited to present the AOWEIXUN ORVESION 1080P 1x4 HDMI Splitter Version 1.4, an essential device for seamless high-definition video distribution. Perfect for home theatre systems, gaming setups, or multi-display environments, this splitter effortlessly distributes one HDMI input to two HDMI outputs without signal loss. Enjoy crystal-clear 1080P resolution with uncompromised audio qualit...",485,,,true,false,in_stock,
5-layer Portable Rolling Storage Rack on Wheels - 105cm - BLACK,accessories,"Four wheels (two with brakes) to move and position the trolley wherever you want (kitchen, office) with ease. Practical: A home item to keep your living space clean and tidy. Environmentally friendly material to avoid potential toxicity of the product The trolley offers a large volume of storage and is perfect for saving space.",799,,,true,false,in_stock,
"LED Floodlight, 20W, IP66 Waterproof Rating, Outdoor and Security Light",accessories,"Illuminate your outdoor spaces with this powerful 20W LED floodlight. Built to withstand the elements with an impressive IP66 waterproof rating, this robust lighting solution offers reliable performance in various weather conditions. The sleek black and white design features an array of 18 high-efficiency LED chips that deliver bright, consistent illumination.",199,,,true,false,in_stock,
LED LCD PDF Flat panel TV Wall Mount for 40-80 inch TV's,accessories,It is easy to install. Includes all mounting hardware to install mount onto the wall. A variety of screws/hardware is included to install the TV onto the mount.,490,,,true,false,in_stock,
"Homonth Brake Bomber Non-Acid Wheel Cleaner and Bug Remover, 120ml",accessories,"Product description Introducing the Homonth Brake Bomber, a specialised 120ml wheel cleaner and bug remover designed to keep your vehicle's wheels spotless without harsh acids. This non-acidic formula effectively dissolves brake dust, road grime, and stubborn bug residue while being gentle on your wheel surfaces. Perfect for all wheel types, including alloy, chrome, and painted finishes, the Br...",385,,,true,false,in_stock,
"Mini LED Floodlight, 50W, IP66 Waterproof Rating",accessories,"Illuminate your outdoor spaces with this powerful 50W LED floodlight. Built to withstand the elements with its robust IP66 waterproof rating, this mini floodlight delivers exceptional brightness and reliability for various exterior applications. The array of high-efficiency LED bulbs provides brilliant illumination while maintaining energy efficiency.",699,,,true,false,in_stock,
"USB Numeric Keypad with 19 Keys, Wired Number Pad for Data Entry, Black and Silver",accessories,"Enhance your data entry efficiency with this sleek USB numeric keypad featuring 19 well-designed keys. The compact number pad combines functionality with style, sporting an attractive black and silver colour scheme that complements any workspace. Its wired USB connection ensures reliable performance and eliminates the need for batteries.",299,,,true,false,in_stock,
"10 000mAh Portable Power Bank, Carbon Fibre Design, LED Battery Indicator, Black",chargers,"Introducing the portable power bank, featuring a sophisticated carbon fibre design that combines style with functionality. This sleek black power bank comes equipped with a convenient LED battery indicator, allowing you to monitor your charging status at a glance. The premium carbon fibre texture not only adds a modern aesthetic appeal but also provides a comfortable grip.",599,,,true,false,in_stock,
8W LED ULTRA QUIET MOSQUITO AND FLY TRAP ENERGY-SAVING & POWER-SAVING,accessories,"Instant Elimination with Electrified Metal Grid – Once attracted, insects make contact with a high-voltage metal grid, which eliminates them instantly and efficiently. The non-clogging grid ensures smooth operation, reducing downtime and maximizing effectiveness",599,,,true,false,in_stock,
6W LED ULTRA QUIET MOSQUITO AND FLY TRAP ENERGY-SAVING & POWER-SAVING,accessories,"Eliminate flying pests effortlessly with our 6W LED Mosquito and Fly Trap, designed to provide a safe, chemical-free, and effective insect control solution for homes, restaurants, hotels, and offices. Featuring two high-quality 10W UV LED tubes, this bug zapper attracts mosquitoes, flies, and other flying insects using ultraviolet light and eliminates them through a high-voltage electric grid. ...",499,,,true,false,in_stock,
10W LED ULTRA QUIET MOSQUITO AND FLY TRAP ENERGY-SAVING & POWER-SAVING,accessories,"Eliminate flying pests effortlessly with our 10W LED Mosquito and Fly Trap, designed to provide a safe, chemical-free, and effective insect control solution for homes, restaurants, hotels, and offices. Featuring two high-quality 10W UV LED tubes, this bug zapper attracts mosquitoes, flies, and other flying insects using ultraviolet light and eliminates them through a high-voltage electric grid....",699,,,true,false,in_stock,
SPLIT SOLAR TRIPLE HEAD WALL LIGHT - FL-1725A,solar,"The solar light split design of 3 heads ensure: - a wide lighting range for greater cover - energy-saving solar-powered intelligent light control and motion sensor mode. Features: Has a split design of 3 heads, therefore floodlighting covers three different angles, thus providing a safer nocturnal environment Large power lamp beads means high brightness Durability ensures a long service life Co...",489,,,true,false,in_stock,
"Car Phone Holder, Centre Console Mount, 360-Degree Adjustable, Carbon Fibre Design",accessories,"Introducing the Z12 Centre Console Phone Holder, a premium car accessory designed for maximum convenience and functionality. This versatile mount features a sleek carbon fibre design and accommodates most modern smartphones securely. The holder boasts 360-degree adjustable rotation, allowing you to position your device at the perfect viewing angle.",199,,,true,false,in_stock,
PATIO MISTCOOLING KIT,accessories,"Perfect natural cooling area maker: The misting cooling system will generate a natural water cooling area, cool the surrounding air temperatures up to 20 degree, , suitable for summer patio cooling, umbrella cooling, pool cooling, etc.",499,,,true,false,in_stock,
"Insulated Lunch Bag with Shoulder Strap, Grey Heather with Brown Trim, Dual Zip Closure",accessories,"Elevate your lunch experience with this sophisticated insulated lunch bag. Featuing a sleek grey heather design accented with refined brown trim, this bag combines style with practicality. The dual-zip closure system ensures easy access to your meals while keeping contents secure.",499,,,true,false,in_stock,
"Insulated Lunch Bag with Dual Compartments, Black, Waterproof Thermal Cooler Tote with Shoulder Strap - BT021-BLK",accessories,"Elevate your lunch experience with this sophisticated dual-compartment insulated lunch bag. The thoughtfully designed two-tier structure keeps your meals organised and at their ideal temperature. Featuring a stylish two-tone design in black, this waterproof thermal cooler combines practicality with contemporary aesthetics.",449,,,true,false,in_stock,
"Dual Compartment Insulated Lunch Bag, Red, Adjustable Shoulder Strap - BT021-R",accessories,"Introducing the red dual compartment insulated lunch bag, a perfect blend of style and functionality. The striking red and grey colour combination creates a modern, sophisticated look while the durable fabric construction ensures lasting performance. This thoughtfully designed lunch bag features two separate compartments, allowing you to organise your meals and snacks efficiently.",449,,,true,false,in_stock,
"Dual Compartment Insulated Lunch Bag, Navy Blue, Adjustable Shoulder Strap - BT021-BL",accessories,"Introducing the dual compartment insulated lunch bag - your perfect companion for keeping meals fresh and organised throughout the day. The stylish navy blue two-tone design features a practical double-deck structure, allowing you to separate different food items or keep hot and cold items apart. The durable adjustable shoulder strap ensures comfortable carrying, while the premium materials com...",449,,,true,false,in_stock,
"Insulated Lunch Bag with Shoulder Strap, Burgundy, Compact Cooler Tote with Zipper - 717",accessories,"Keep your meals and snacks at the perfect temperature with this stylish burgundy insulated lunch bag. The compact design features a convenient shoulder strap for easy carrying, making it ideal for work, school, or picnics. The durable zipper closure ensures your food stays secure, while the insulated interior helps maintain temperature.",299,,,true,false,in_stock,
"Solar LED Wall Light with Motion Sensor, Decorative Pattern Design, Black",solar,"Illuminate your outdoor space with this sophisticated solar-powered LED wall light featuring an elegant decorative pattern design. The black finish and artistic cut-out pattern create beautiful light effects while providing functional illumination. Equipped with a motion sensor, this light automatically activates when movement is detected, enhancing security and convenience.",399,,,true,false,in_stock,
10'' RGB LED SOFT RING LIGHT WITH TRIPOD STAND & PHONE HOLDER - WITH 40 COLOR CHANGING SCHEME,accessories,"Transform your content creation game with this versatile 25.4 cm RGB LED ring light setup. Featuring an impressive 40-colour changing scheme, this professional lighting solution offers endless creative possibilities for your photos, videos, and live streams. The soft LED lighting provides even, flattering illumination while reducing harsh shadows.",399,,,true,false,in_stock,
2 USB AUTO-ID CAR CHARGER ADAPTER - 2.4A - TC-03,chargers,"Power up your devices on the go with this sleek dual USB car charger. The compact, cylindrical design features two USB ports with intelligent charging capabilities to safely deliver optimal power to your devices. Its matte black finish with silver accents gives it a sophisticated look while the LED indicator helps you locate ports in low light conditions.",399,,,true,false,in_stock,
6'' RECHARGEABLE BOX FAN WITH SOLAR PANEL AND LIGHT BULB - GD-8025,solar,"Experience versatile cooling with this innovative 15.2 cm rechargeable box fan featuring dual power options. The included solar panel provides sustainable charging capability, while the built-in rechargeable battery ensures continuous operation. This compact yet powerful fan offers multiple speed settings and a convenient oscillating function to distribute air flow effectively throughout your s...",699,,,true,false,in_stock,
"Solar Powered Rechargeable Fan with LED Light, Portable Table Fan with Solar Panel, White and Green",solar,"Experience versatile cooling and lighting with this innovative solar-powered fan. The sleek white and green design features a powerful fan coupled with LED lighting capabilities, making it perfect for both indoor and outdoor use. The integrated solar panel ensures sustainable operation while also offering conventional charging options.",899,,,true,false,in_stock,
3-Gear Adjustment Folding Telescopic Desktop Fan - Green,accessories,"This Table Fan,Portable Personal Mini Desk Fan,Travel Fan,Bedroom Fan,Portable Fan,Rechargeable Fan,Desk Fan 1. Folding Fan, can be carried and used at home, office and outdoors, etc. You can put it in a backpack, desktop, handbag, car, cabinet.",399,,,true,false,in_stock,
"LED Module String Lights, Blue Housing, 20 Pieces, Waterproof, Blue Light",accessories,"Illuminate your space with these versatile LED module string lights featuring a durable blue housing design. The set includes 20 individual LED modules connected by flexible wiring, perfect for creating eye-catching displays or ambient lighting solutions. Each module produces a striking blue light output, making them ideal for accent lighting, signage, or decorative applications.",399,,,true,false,in_stock,
"B-09 Tactical Hydration Backpack with Water Bladder, 3L Capacity, Military-Style Design, Khaki",accessories,"Stay hydrated during intense outdoor activities with this military-style tactical hydration backpack. Featuring a generous 3-litre water bladder capacity, this khaki-coloured pack is designed for optimal performance and convenience. The durable construction includes adjustable shoulder straps for a secure, comfortable fit, while the streamlined profile maintains mobility.",399,,,true,false,in_stock,
Leaf Rake Grass Rake Artificial Turf Rake Rakes for Lawns Heavy Duty Garden Rakes Rake for Leaves Hand Garden Tools Yard Rakes for Leaves Heavy Duty Manual Plastic Lawn Grass- SET OF 2 (ORANGE),accessories,"Plastic rakes for lawns heavy duty-- the size is compact, light in weight, easy to use and labor-saving. easily clean leaves, pine needles, small debris, grass clipping under hedges, and more. Gardening hand tools-- to clean the leaves and in your garden, this is a good helper.",350,,,true,false,in_stock,
"Portable Mini USB Fan, Desktop Personal Cooling Fan with Rose Gold Accents, Green",accessories,"Stay cool and comfortable with this stylish portable mini USB fan. The elegant design features a sleek purple body accented with sophisticated rose gold details, making it a beautiful addition to any desk or workspace. The compact and lightweight construction allows for easy portability, while the USB-powered operation ensures convenient use wherever you need it.",299,,,true,false,in_stock,
"Portable Mini USB Fan, Desktop Personal Cooling Fan with Rose Gold Accents, White",accessories,"Stay cool and comfortable with this sleek portable mini USB fan. The elegant white design features sophisticated rose gold accents, making it a stylish addition to any desk or workspace. The fan's compact size makes it perfect for personal cooling, whether at home, office, or while travelling.",299,,,true,false,in_stock,
"Portable Mini USB Fan, Desktop Personal Cooling Fan with Rose Gold Accents, Purple",accessories,"Stay cool and comfortable with this stylish portable mini USB fan. The elegant design features a sleek purple body accented with sophisticated rose gold details, making it a beautiful addition to any desk or workspace. The compact and lightweight construction allows for easy portability, while the USB-powered operation ensures convenient use wherever you need it.",299,,,true,false,in_stock,
"Solar-Powered Star String Lights, 30 LED Indoor/Outdoor Garden Decorative Lights, RGB",solar,"Transform your outdoor space into a magical wonderland with these enchanting star-shaped string lights. The 30 LED lights create a captivating display that adds a touch of whimsy to any setting. Powered by solar energy, these lights automatically charge during the day and illuminate your garden, patio, or indoor space at night.",199,,,true,false,in_stock,
"Solar-Powered Star String Lights, 30 LED Indoor/Outdoor Garden Decorative Lights, Warm White",solar,"Transform your outdoor space into a magical wonderland with these enchanting star-shaped string lights. The 30 LED lights create a captivating display that adds a touch of whimsy to any setting. Powered by solar energy, these lights automatically charge during the day and illuminate your garden, patio, or indoor space at night.",199,,,true,false,in_stock,
"Solar Powered Portable Megaphone Speaker, Handheld Amplifier with Handle",solar,"Make your voice heard loud and clear with this powerful handheld megaphone speaker. Perfect for outdoor events, sports activities, and crowd management, this portable amplifier combines convenience with impressive sound projection. The innovative solar-powered functionality provides an sustainable power source, while the ergonomic handle ensures comfortable grip during extended use.",439,,,true,false,in_stock,
450ml Non-Corrosive Professional Car Paint Remover,accessories,"Product description Restore your vehicle's surface to perfection with our 450ml Non-Corrosive Professional Car Paint Remover. Engineered for precision and safety, this high-performance remover efficiently strips away old paint without damaging your car's body. Description : Specifically designed to be gentle on your car's surface, our paint remover effectively dissolves paint without causing da...",289,,,true,false,in_stock,
"H09 Mini USB Powered Personal Air Humidifier with RGB Ambient Colorful Lighting & Auto Shut-Off, – Ideal for Bedrooms, Offices and Cars - Black",accessories,"Portable Mini Humidifier – Personal Air Humidifier featuring Colorful Light & Auto Shut-Off Improve your surroundings with this compact mini humidifier, crafted to deliver ideal moisture for a more pleasant atmosphere. Ideal for bedrooms, offices, vehicles, and travel, this small humidifier offers two mist settings to accommodate your preferences, plus a vibrant cycling LED light for a calming ...",299,,,true,false,in_stock,
"5M LED Star Fairy Lights, Multi-Colour, Decorative Holiday Lightin - SET OF 6",accessories,"Transform your space into a magical wonderland with this set of 6 stunning LED star fairy light strings. Each string stretches 5 metres long and features charming star-shaped bulbs that emit a warm white glow, perfect for creating an enchanting atmosphere. These versatile light strings come complete with solar panels and ground stakes for easy outdoor installation, though they're equally suited...",499,,,true,false,in_stock,
"5M LED Star Fairy Lights, Warm White, Decorative Holiday Lighting - SET OF 6",accessories,"Transform your space into a magical wonderland with this set of 6 stunning LED star fairy light strings. Each string stretches 5 metres long and features charming star-shaped bulbs that emit a warm white glow, perfect for creating an enchanting atmosphere. These versatile light strings come complete with solar panels and ground stakes for easy outdoor installation, though they're equally suited...",499,,,true,false,in_stock,
"1 X 8 HDMI Splitter with 4K Ultra HD Full Resolution, 1080P with 3D Support, with Power Adapter",routers,"Experience crystal-clear video distribution with this premium 1x8 HDMI Splitter. Supporting stunning 4K Ultra HD resolution and full 1080P with 3D capabilities, this splitter allows you to connect one HDMI source to eight different displays simultaneously without any loss in quality. The compact design measures just 26.9 cm in length, 13.5 cm in width, and 2.5 cm in height, weighing a mere 903 ...",999,,,true,false,in_stock,
"Solar Flame LED Lights with Flickering Flame Effect, Black, Garden Path Lighting, Set of 6",solar,Transform your outdoor space with these stunning solar-powered LED torch lights that create an enchanting flame effect. The set of six black garden path lights features a sophisticated design with intricate flame-pattern cutouts that cast mesmerising shadows. Each light automatically charges during the day via the solar panel and illuminates at dusk with a realistic flickering flame effect that...,,,,true,false,in_stock,
"Q5 Bluetooth FM Transmitter Car Charger with RGB LED Light, Wireless Car Audio Adapter, Dual USB Ports, Hands-Free Calling, MP3 Player",chargers,"Transform your vehicle's audio experience with this versatile Bluetooth FM transmitter and car charger combo. Featuring vibrant RGB LED lighting that adds a modern aesthetic to your car's interior, this device seamlessly streams your favourite music through your car's FM radio system. The dual USB ports allow you to charge multiple devices simultaneously while enjoying crystal-clear audio trans...",259,,,true,false,in_stock,
"Q28 Bluetooth FM Transmitter with RGB Light, Car Charger with Dual USB Ports, LED Display, Hands-Free Calling, Music Player, Black",chargers,"Transform your vehicle's audio experience with this versatile Q28 Bluetooth FM transmitter. Featuring a sleek black design with eye-catching RGB lighting effects, this device doubles as a car charger with dual USB ports for simultaneous device charging. The clear LED display shows essential information at a glance, while Bluetooth connectivity enables seamless music streaming from your mobile d...",259,,,true,false,in_stock,
"Portable Mini Hair Trimmer with 4 Guide Combs, Professional Grooming Kit, 15cm Length, Multiple Length Settings 1.5-4mm (Silver)",accessories,"Elevate your grooming routine with this compact and versatile mini hair trimmer. Standing at just 15 centimetres in length, this professional-grade grooming tool is perfectly sized for travel and everyday use. The trimmer comes complete with four precision guide combs, offering versatile cutting lengths of 1.5mm, 2mm, 3mm, and 4mm to achieve your desired style.",259,,,true,false,in_stock,
"Portable Mini Hair Trimmer with 4 Guide Combs, Professional Grooming Kit, 15cm Length, Multiple Length Settings 1.5-4mm (Gold)",accessories,"Elevate your grooming routine with this compact and versatile mini hair trimmer. Standing at just 15 centimetres in length, this professional-grade grooming tool is perfectly sized for travel and everyday use. The trimmer comes complete with four precision guide combs, offering versatile cutting lengths of 1.5mm, 2mm, 3mm, and 4mm to achieve your desired style.",259,,,true,false,in_stock,
"Hand Riveter, 4.8mm Size",accessories,"a budget-friendly option. Lightweight, simple, and suitable for basic riveting tasks. Not as feature-rich as premium models, but fine for occasional or light-duty projects.",190,,,true,false,in_stock,
