name,category,description,retail_price,bulk_price,bulk_min_qty
C15-25-20 Foam Double-Sided Mounting Tape 2pc 9.2cm,accessories,Two-roll set of wide foam mounting tape for a strong permanent bond on heavier items. Suitable for tiles glass wood and painted walls.,18,6.5,288
C15-25-21 Masking Tape 20m x 4.5cm,accessories,20-metre masking tape for clean paint lines crafts and surface protection. Easy to tear by hand and leaves no residue on most surfaces.,25,9,72
C15-25-22 Masking Tape 20m x 2.4cm Narrow,accessories,Narrow 20-metre masking tape for detail painting labelling and light bundling. Clean removal without tearing or damaging painted surfaces.,13,4.8,144
C15-25-23 Nano Double-Sided Tape 3m x 1.8cm,accessories,Nano-technology washable mounting tape with strong grip that can be reused by rinsing with water. Holds up to 1kg on smooth surfaces.,20,6.8,288
C15-25-24 Nano Double-Sided Mounting Tape 3m x 3cm,accessories,Wider nano double-sided mounting tape in resealable bag for heavier mounting tasks. Washable and repositionable on glass tiles and metal.,25,9,200
C15-25-25 6-Piece Tubeless Tyre Repair Kit,automobile,Complete 6-piece plug-and-patch kit for tubeless car and bicycle tyres. Includes reamer needle tool and rubber plugs for quick roadside puncture repair.,25,9,200
C15-25-26 Electrical Insulation Tape 20-Yard,tools,20-yard black PVC electrical tape rated for indoor wiring insulation up to 600V. Flexible moisture-resistant and flame-retardant backing.,110,38,30
C15-25-27 Electrical Insulation Tape 10-Yard,tools,10-yard black PVC electrical tape for wrapping wire joins cable bundling and insulation repairs. Conforms tightly to irregular surfaces.,55,20,50
C15-25-28 Electrical Insulation Tape 5-Yard,tools,Handy 5-yard electrical tape roll for quick fixes hobby electronics and emergency repairs. Good stretch and strong adhesion to wire and cable.,42,15,50
C15-25-29 AB Epoxy Glue 10g,tools,Two-component 5-minute epoxy adhesive in twin-syringe pack. Bonds metal wood ceramic glass and most plastics with a rigid waterproof joint.,16,5.8,288
C15-25-30 Universal Contact Cement Glue,tools,BAQ contact cement for bonding rubber leather laminates and foam. Apply to both surfaces allow to dry then press for an instant permanent bond.,16,5.8,288
C15-25-31 Super Glue 12-Pack,tools,12-tube card of instant cyanoacrylate super glue for rapid bonding of ceramics metals rubber and plastics. Sets in seconds with minimal clamping.,30,11,144
C15-25-32 Thin Hot Glue Sticks 10-Pack 7mm,tools,Pack of 10 thin 7mm glue sticks compatible with standard mini glue guns. Clean-melt formula for crafts school projects and light repairs.,18,6.5,288
C15-25-33 Thick Hot Glue Sticks 5-Pack 11mm,tools,5 large-diameter 11mm glue sticks for full-size hot glue guns. High-bond formula suits heavy crafts upholstery and DIY repairs.,22,7.5,192
C15-25-34 Waterproof Flashing Tape 5m x 5cm,tools,Self-adhesive bitumen flashing tape for instant watertight seals on roofing gutters and pipe joints. Rated for 15+ years outdoor weathering.,60,22,30
C15-25-35 Waterproof Flashing Tape 10m x 5cm,tools,Extended 10-metre waterproof self-adhesive flashing tape for larger roofing and construction sealing jobs. Heat-activated membrane for superior adhesion.,95,35,24
C15-25-36 5500 Price Label Gun,accessories,Single-line price labelling gun that prints and applies 5500-series price stickers in one action. Adjustable price digits and smooth feed mechanism.,115,42,50
C15-25-37 Price Label Sticker Roll 500 Labels,accessories,Replacement roll of 500 price labels for 5500-series price guns. White labels with red grid lines for clear price marking in retail environments.,45,17,100
C15-25-38 Sticky Tape Set 3-Roll with Dispenser,accessories,3-roll transparent sticky tape set with plastic dispenser included. Ideal for office school and gift-wrapping with easy one-hand dispensing.,22,8,144
C15-25-39 Desktop Tape Dispenser 8808,accessories,Sturdy weighted desktop tape dispenser with serrated blade for clean one-handed tape cutting. Fits standard 1-inch core tape rolls.,50,18,24
C15-25-40 Plastic Tape Dispenser 4.8cm,accessories,Compact colourful plastic tape dispenser for 4.8cm-wide tape rolls. Lightweight design for home and office desk use.,36,13,100
C15-25-41 Fly Catch Trap Ribbons 4-Pack,household,Pack of 4 hanging sticky fly-catcher ribbons that trap houseflies and gnats without poison or baiting. Unroll and hang for instant fly control.,13,4.5,288
C15-24-42 Electric Mosquito Liquid Set with 2 Refills 0482-B2,household,Pit Pos electric mosquito repellent set with plug-in heater unit and 2 liquid refill bottles. Provides 120 nights of lemon-fragrance protection.,75,27,120
C15-25-43 Electric Mosquito Liquid Set with 1 Refill 482-B1,household,Pit Pos electric mosquito liquid starter kit with heater and single refill bottle providing 120 nights of continuous indoor protection.,58,21,120
C15-25-44 Mosquito Repellent Liquid Refill 2540,household,Lemon-fragrance mosquito liquid refill compatible with standard electric heater units. Each bottle provides approximately 30 nights at 8 hours per night.,25,9,200
C15-25-45 Electric Mosquito Liquid Refill 60 Nights,household,Leader brand electric mosquito liquid refill with 1.0% prallethrin active ingredient. 60-night duration at 8 hours per night with lemon scent.,24,8.5,200
C15-27-1 PM-2006 Pearl Max 708 Razor Handle Set,accessories,"Twin-blade razor set with yellow 708 handle and 2-layer stainless steel blade card. Ergonomic design for a comfortable and close wet shave.",90,32,72
C15-27-2 PM-2002 Pearl Max Green Comfort Razor Set,accessories,"Razor set with green comfort-grip handle and 2-layer stainless steel blades with lubricating strip. Flexible head follows face contours for a smooth shave.",110,39,72
C15-27-3 PM-2603B Pearl Max Rubber-Handle Disposable Razor 8-Pack,accessories,"8-pack of rubber-handle disposable razors with twin stainless steel blades and green lubricating strip. Soft grip and smooth glide for daily shaving.",35,12.5,200
C15-27-4 PM-3004B Pearl Max Seahorse 3-Blade Disposable Razor 3-Pack,accessories,"3-pack of blue seahorse-handle disposable razors with triple stainless steel blades for a close shave and reduced skin irritation.",30,10,144
C15-27-5 PMD-007 Pearl Max Double-Edge Razor Blades 100-Pack,accessories,"Card of 100 triple chrome-coated double-edge razor blades in 5-blade boxes. Compatible with all standard double-edge safety razors.",100,36,100
C15-27-6 PM-2610B Pearl Max Twin-Blade Disposable Razor 6-Pack,accessories,"Value 6-pack of disposable razors with 708 handle and twin stainless steel blades. Budget-friendly everyday option for a clean close shave.",18,6.5,400
C15-34-1 LUDE 100g Black Shoe Polish,accessories,"Large-format 100g black shoe polish tin that restores colour and builds a high-gloss protective shine on leather shoes and boots.",30,10.5,144
C15-34-2 LUDE 40g Neutral Shoe Polish,accessories,"Compact 40g neutral shoe polish tin for everyday leather conditioning and protection. Does not darken the shoe colour.",13,4.8,360
C15-34-3 G428 Flat Plastic Scrubbing Brush,household,"Flat plastic-backed scrubbing brush with stiff bristles for cleaning floors tiles and surfaces. Lightweight and easy to grip.",8,2.8,600
C15-34-4 G400 Plastic Household Brush,household,"Firm-bristle plastic brush for scrubbing shoes surfaces and fabrics. Sturdy construction removes mud and ingrained dirt effectively.",10,3.5,480
C15-34-5 T428 Wooden Scrubbing Brush,household,"Wooden-backed scrubbing brush with stiff nylon bristles for shoe polishing and general household scrubbing. Durable wood base for long-term use.",8,3,600
C15-34-6 Small 400 Compact Wooden Brush,household,"Small wooden-handled brush ideal for applying and buffing shoe polish. Natural wood grip with firm bristles for detail cleaning.",8,3,240
C15-34-7 QJ804 Plastic Soap Dish,accessories,"Plastic soap dish with drainage slots that keep soap dry between uses. Prevents soap residue buildup on bathroom and kitchen surfaces.",17,6,240
C15-34-8 BC120 Lidded Plastic Soap Box,accessories,"Snap-close plastic soap box for bathroom or travel use. Sealed lid keeps soap contained and residue-free in bags and on shelves.",18,6.5,250
C15-34-9 BC124 Plastic Soap Box with Decorative Lid,accessories,"Decorative lidded plastic soap box for bathroom storage or travel. Secure lid keeps soap fresh and prevents mess in bags.",17,6,308
C15-34-10 XYJ-30 Stainless Steel Clothes Pegs 30-Pack,household,"Pack of 30 rust-proof stainless steel spring clothes pegs for hanging laundry. Strong grip and corrosion-resistant for long-lasting outdoor use.",25,8.5,550
C15-34-11 CY12CM Stainless Steel Clothes Clips,household,"Pack of 12cm stainless steel spring clothes clips that resist rust and bending. Suitable for indoor and outdoor laundry lines.",30,11.5,250
C15-32-1 Yaodongbang Fresh-Scented Cleaning Wipes,household,"Fresh-scented multi-purpose cleaning wipes for hands surfaces and on-the-go use. Resealable pack for convenient home and travel hygiene.",20,7,50
C15-32-2 Baby Tender Baby Wipes,household,"Gentle fresh-scented baby wipes for nappy changes and everyday baby hygiene. Soft formula suitable for sensitive baby skin.",20,7,50
C15-32-3 Ladies Square Shower Cap for Curly Hair,accessories,"Wide square shower cap with elastic band designed for women with natural or curly hair. Waterproof and reusable with a roomy fit.",20,8,50
C15-32-4 Bear-Themed Kids Personal Care Pack (Pink & Blue),accessories,"Bear-themed pink and blue personal care hygiene pack for babies and toddlers. Compact colourful packaging suitable for gifting or travel.",30,11,40
C5-31-1 Melamine Dessert Spoon with Floral Pattern,kitchen,"Small floral-print melamine spoon for rice soup and dessert servings. Lightweight and shatter-resistant for everyday family dining.",7,2.5,1200
C5-31-2 Melamine Ladle with Floral Pattern,kitchen,"Long-handled melamine ladle with floral print for serving soups stews and sauces. Durable design for everyday kitchen use.",11,3.8,400
C5-31-3 6-Inch Melamine Ripple Bowl with Floral Pattern,kitchen,"Small 6-inch melamine bowl with ripple edge and rose print for soups cereal and side servings. Lightweight and shatter-resistant.",10,3.5,360
C5-31-4 8-Inch Melamine Ripple Bowl with Floral Pattern,kitchen,"Mid-size 8-inch melamine bowl with ripple edge and floral print. Durable and lightweight for everyday soup cereal and main course use.",17,6,240
C5-31-5 9-Inch Large Melamine Ripple Bowl with Floral Pattern,kitchen,"Large 9-inch melamine bowl with ripple edge and floral pattern for salads pasta and family portions. Shatter-resistant for everyday use.",20,7,144
C5-31-8 12-Inch Oval Melamine Serving Plate,kitchen,"Oval 12-inch melamine serving plate with rose floral design. Ideal for presenting meats vegetables and sharing platters at family meals.",20,7,180
C5-31-9 8-Inch Melamine Bowl with Fruit Pattern,kitchen,"8-inch melamine bowl with tropical fruit pattern for soups noodles and main courses. Sturdy shatter-resistant construction for everyday dining.",18,6.5,240
C5-31-10 8-Inch Melamine Plate with Purple Floral Print,kitchen,"8-inch melamine plate with purple flower border. Lightweight shatter-resistant everyday plate for main courses and side dishes.",14,5,288
C5-31-11 8-Inch Melamine Plate with Scalloped Edge,kitchen,"8-inch melamine plate with decorative scalloped rim and floral border. Elegant lightweight plate for everyday dining.",14,5,240
C5-31-12 8-Inch Melamine Plate with Gold and Red Band,kitchen,"Classic 8-inch melamine plate with gold and red banded rim design. Suitable for everyday dining and casual entertaining.",14,5,240
C5-31-13 9-Inch Melamine Plate with Blue Chinoiserie Pattern,kitchen,"9-inch melamine plate with traditional blue-and-white chinoiserie floral design. Suitable for everyday dining or themed table settings.",25,8.5,96
C5-31-14 11-Inch Deep Melamine Serving Plate with Blue Floral,kitchen,"11-inch lipped melamine serving plate with blue floral design. Raised edges prevent spills making it ideal for saucy dishes and curries.",35,12,96
C5-31-15 11-Inch Deep Melamine Serving Plate with Lily Design,kitchen,"11-inch lipped melamine plate with botanical white lily print. Suitable for main courses sharing dishes and family-style serving.",28,10,96
C5-31-16 14-Inch Oval Melamine Serving Tray,kitchen,"14-inch oval melamine serving tray with floral border. Large enough for drinks snacks and buffet-style serving at gatherings.",25,9,72
C5-31-17 16-Inch Large Oval Melamine Serving Tray,kitchen,"Extra-large 16-inch oval melamine presentation tray with floral design. Ideal for braais buffets and family-style meal presentations.",35,13,72
CXT5-2016-6 T5 Vehicle Park Light Bulb,automobile,Small T5-style park/position light bulb for vehicles. Used as indicator or sidelight in cars and motorcycles.,20,8,500
CXT5-3014-2 T5 Vehicle Park Light Bulb,automobile,Compact T5-style park/position light bulb. Suitable as sidelight or indicator lamp in most vehicles.,17,6,500
CXT10-4014-24 T10 Vehicle Park Light Bulb,automobile,T10 wedge-base park light bulb with 4014 LED chip. Fits standard T10 sockets for position or clearance lights.,35,13,500
CXT5-2016-8 T5 Vehicle Park Light Bulb,automobile,Small T5-style park/position light bulb for vehicles. Used as indicator or sidelight in cars and motorcycles.,20,8,500
CXT5-2835-3 T5 Vehicle Park Light Bulb,automobile,T5-style park light bulb with 2835 chip. Suitable for use as sidelight or position indicator in vehicles.,17,6,500
CXT5-5630-2 T5 Vehicle Park Light Bulb,automobile,T5-style park light bulb with 5630 chip. Provides a bright sidelight or position indicator for vehicles.,17,6,500
CXT5-4014-7 T5 Vehicle Park Light Bulb,automobile,T5-style park light with 4014 chip. Drop-in replacement for standard T5 position light sockets.,20,8,500
CXT10-4014-30 T10 Vehicle Park Light Bulb,automobile,T10 wedge park light with 4014 LED strip. Brighter upgrade for standard T10 position light fittings.,55,20,500
CXT5-3030-27 T5 Vehicle Park Light Bulb,automobile,T5-style park light with 3030 chip. High-output position light bulb suitable for most vehicles.,110,38,500
CX1156-3 Single-Contact Brake Light Bulb 3-Pack,automobile,Type 1156 (BA15S) single-contact brake and tail light bulb sold in a pack of 3. Standard fit for most vehicles.,30,11,500
CX1157-3 Dual-Contact Brake Light Bulb 3-Pack,automobile,Type 1157 (BAY15D) dual-contact brake and tail light bulb 3-pack. Works for both brake and running lights.,30,11,500
CX1156-12 Single-Contact Brake Light Bulb 12-Pack,automobile,Type 1156 (BA15S) single-contact brake light bulb 12-pack. Value pack for workshops or bulk buyers.,35,13,500
CX1157-12 Dual-Contact Brake Light Bulb 12-Pack,automobile,Type 1157 (BAY15D) dual-contact brake light bulb 12-pack. Dual-filament suits brake and running lights.,35,13,500
CX1156-144 Single-Contact Brake Light Bulb 144-Pack,automobile,Type 1156 (BA15S) single-contact brake light bulb carton of 144. Bulk supply for trade or resale.,90,33,500
CX1157-144 Dual-Contact Brake Light Bulb 144-Pack,automobile,Type 1157 (BAY15D) dual-contact brake light bulb carton of 144. Bulk supply for workshops and trade.,90,33,500
NA-82 Vehicle Park Light Bulb,automobile,Small vehicle park/position light bulb. Suitable as sidelight or indicator in a range of vehicle models.,60,22,500
NA-65 Vehicle Park Light Bulb,automobile,Compact vehicle park light bulb. Used as a position or sidelight indicator in cars.,35,12,500
CX98-47 Vehicle Park Light Bulb,automobile,Vehicle park/position light bulb. Standard replacement for sidelight or indicator fittings.,30,10,500
C103-77-5 Vehicle Park Light Bulb,automobile,Small park/position light bulb for vehicles. Fits standard sidelight sockets in cars and vans.,35,12,500
NA-67 Vehicle Park Light Bulb,automobile,Vehicle park light bulb replacement. Suitable for sidelight and position light fittings.,35,12,500
C5-1-48 Vehicle Park Light Bulb,automobile,Small park/position light bulb. Standard replacement for vehicle sidelights and clearance lights.,35,13,500
C5-1-49 Vehicle Park Light Bulb,automobile,Vehicle park/position light bulb for sidelight and indicator fittings.,40,15,500
NA-85-31 Vehicle Park Light Bulb,automobile,Park/position light bulb for vehicles. Drop-in replacement for standard sidelight sockets.,35,13,500
NA-85-39 Vehicle Park Light Bulb,automobile,Vehicle park light bulb with higher output. Suitable as sidelight or clearance light.,45,16,500
C5-1-50 Vehicle Park Light Bulb,automobile,Compact park/position light bulb for cars. Fits standard T-type sidelight sockets.,35,12,500
NA-46 Vehicle Park Light Bulb,automobile,Higher-output vehicle park light bulb. Suitable for position or clearance lights on cars and trucks.,100,35,500
NA-24 Vehicle Park Light Bulb,automobile,Vehicle park/position light bulb. Standard sidelight replacement for a range of vehicles.,65,23,500
1-42 Blister Pack Vehicle Headlight Bulb,automobile,Retail-blister-packaged vehicle headlight bulb. Suitable as a replacement for standard headlight fittings.,130,45,300
1-43 Blister Pack Vehicle Headlight Bulb,automobile,Retail-blister-packaged vehicle headlight bulb. Replacement for standard forward headlamp fittings.,130,45,300
NG-28 Owl Decorative Vehicle Light,automobile,Novelty owl-shaped decorative light for vehicles. Can be used as a cabin or accent light.,60,22,300
CX98-57 Daytime Running Light (DRL),automobile,LED daytime running light strip for vehicles. Improves daytime visibility and gives a modern front-end look.,110,40,200
NA-49 Daytime Running Light (DRL),automobile,LED daytime running light. Mounts to the front of the vehicle to improve visibility in daylight.,90,32,200
C5-1-58 Daytime Running Light (DRL),automobile,High-output LED daytime running light bar. Fits to the front bumper area for improved day visibility.,120,42,200
C5-1-59 Daytime Running Light (DRL),automobile,LED daytime running light bar for vehicles. Provides bright energy-efficient daytime illumination.,120,42,200
C5-1-60 Daytime Running Light (DRL),automobile,LED daytime running light for vehicles. Mounts to the front bumper for enhanced daytime visibility.,100,35,200
C103-77-18 LED DRL Strip Light,automobile,Flexible LED DRL strip for vehicle daytime running light installations. Slim profile for clean fitment.,50,18,300
NA-73 Round Daytime Running Light (DRL),automobile,Circular LED daytime running light. Mounts to the vehicle front for a distinctive round DRL appearance.,90,32,300
C15-25-42 Dual-Use Mosquito Coil 0482-B2 (National Standard),household,Dual-use mosquito coil meeting national standard specifications. Effective against mosquitoes for outdoor and indoor use.,75,27,120
LP501 Mini Fan,household,"Compact USB-rechargeable clip-on mini fan for personal cooling at desk or home. Lightweight with foldable base.",60,21,144
LP512 Mini Fan,household,"Portable rechargeable mini fan with clip stand. USB-powered quiet multi-speed operation for personal cooling.",60,21,168
SQ7777 Mini Fan,household,"Folding mini fan with multi-speed control and USB charging. Portable cooling for home office or travel.",80,28,120
FP1528B Mini Fan,household,"Rechargeable portable mini fan with clip base and multiple speed settings. Suitable for desk handheld or stroller use.",100,35,96
MINI139 Mini Fan,household,"Small rechargeable clip-on fan for personal cooling. USB-powered with adjustable neck position.",60,21,144
FQ1522 Mini Fan,household,"Portable USB-rechargeable mini fan with folding base. Multi-speed operation for personal cooling indoors and outdoors.",75,27,144
SK59 Mini Fan,household,"Compact clip-on personal fan with USB recharging. Quiet and lightweight for desk bedside or office cooling.",65,23,144
JB103 Mini Fan,household,"Portable rechargeable mini fan with stable clip design. USB-powered for quiet personal cooling anywhere.",75,26,144
JL8818 Mini Fan,household,"Small personal USB-rechargeable fan with compact build. Ideal for desk and bedside cooling on hot days.",55,19,144
ZB088 Mini Fan,household,"Compact adjustable-clip mini fan with USB charging. Suitable for desk stroller and travel personal cooling.",65,24,144
LP551 Mini Fan,household,"Portable clip-on mini fan with USB charging. Slim lightweight build for personal cooling at home or while travelling.",55,20,168
Oversize Handheld Mini Fan,household,"Extra-large handheld personal fan with USB charging and high-power airflow. Ideal for outdoor events and hot environments.",70,25,96
MJ127 Mini Fan,household,"Compact rechargeable mini fan with foldable stand. USB-powered and suitable for desk or personal outdoor cooling.",70,25,144
SQ612 Handheld Mini Fan,household,"Small lightweight handheld fan for personal use. USB rechargeable with simple one-button speed control.",25,9,576
180 Degree Clip Fan 220V,household,"Mains-powered 180-degree rotating clip fan with iron mesh guard. Adjustable angle and two-speed settings for home or office use.",410,145,12
A30 Portable Air Cooler 9L,household,"9-litre portable evaporative air cooler with misting and fan functions. Suitable for personal spaces and small rooms.",1960,700,3
Air Conditioner 30L,household,"30-litre portable air conditioner for larger rooms. Combines cooling and humidification with wide area coverage.",7840,2799.99,1
2202 5W Mini Hair Clipper,accessories,"Compact 5W cordless hair clipper and beard trimmer. USB rechargeable with stainless steel blades for home grooming.",150,55,120
GF588 Hair Clipper,accessories,"Cordless hair clipper with sharp stainless steel blades and guide comb. Suitable for home haircuts and beard trimming.",90,32,100
VBT0813 Hair Clipper,accessories,"Professional-style cordless hair clipper with precision cutting blades. Suitable for fades tapers and general hair cutting.",160,58,60
Vintage T9 Hair Clipper,accessories,"Retro-style cordless electric shaver and hair clipper in white box. Compact for daily grooming and beard maintenance.",70,25,100
GW6558 3000W Hair Dryer,accessories,"3000W professional-style hair dryer with high-velocity airflow for fast drying. Lightweight with cool-shot button.",245,87,40
GW7669 Hair Straightener Comb,accessories,"Electric comb-style hair straightener for quick styling and smoothing. Heats fast and glides through hair with minimal frizz.",200,70,60
GW7652 Copper Styling Comb,accessories,"Copper-plate heated styling comb for smoothing and straightening all hair types. Even heat distribution for consistent results.",200,73,80
Gold Copper Styling Comb,accessories,"Gold-finish copper-plate styling comb for hair straightening and smoothing. Even heat for frizz-free styling.",180,65,80
T9 Professional Hair Clipper,accessories,"Professional cordless hair clipper with precision cutting blades and guide combs. Suitable for barbering and fades.",100,35,100
VBT0812 Hair Clipper,accessories,"Cordless hair clipper with sharp stainless blades and guide combs included. Suitable for home and professional use.",160,58,60
H09 Humidifier,household,"Compact USB-powered humidifier for desk or bedside use. Adds moisture to dry air and improves comfort in small rooms.",90,32,160
GW Power Bank Wireless 5000MAH,power-banks,"5000mAh wireless charging power bank with Qi coil. Compact for daily carry to charge smartphones on the go.",180,65,100
GW Power Bank 10000MAH,power-banks,"10000mAh portable power bank with dual USB output. Reliable backup charge for phones and tablets.",320,113,100
HF-F81 Solar Bluetooth Speaker,accessories,"Solar-panel Bluetooth speaker for outdoor use. Charges via sunlight or USB with loud stereo sound and durable casing.",380,135,40
HF-F3 Solar Bluetooth Speaker,accessories,"Large solar-powered Bluetooth speaker with enhanced bass and long battery life. Ideal for outdoor gatherings and camping.",410,145,40
Charge Mini3 Bluetooth Speaker,accessories,"Compact portable Bluetooth speaker with clear sound and USB charging. Pocket-sized for travel and everyday listening.",200,72,100
PLUSE5 Bluetooth Speaker,accessories,"High-output portable Bluetooth speaker with deep bass and long battery life. USB charging for home and outdoor use.",420,150,50
A005 Bluetooth Speaker,accessories,"Portable Bluetooth speaker with full stereo sound and USB recharging. Compact and lightweight for everyday listening.",150,52,50
A16 Portable Juicer,kitchen,"Personal-sized portable USB-rechargeable blender for smoothies and juices. BPA-free cup for on-the-go use.",190,68,40
USB Mini Food Processor,kitchen,"USB-powered mini food chopper for garlic herbs and small ingredients. Compact and easy to clean for quick kitchen prep.",130,47,50
WATCH10 2.01-Inch Smart Watch,smartwatches,"2.01-inch large-screen smartwatch with fitness tracking heart rate monitor and multiple sports modes. Bluetooth sync.",450,160,100
T900 Smart Watch,smartwatches,"Smartwatch with large colour display fitness tracking and call notifications. Compatible with iOS and Android.",200,70,100
SU U9 Mini Ultra Smart Watch,smartwatches,"Premium ultra-thin smartwatch with AMOLED display and comprehensive health monitoring. Supports Bluetooth calls and NFC.",660,235,100
X10 Ultra3 Smart Watch,smartwatches,"Sporty smartwatch with large display multi-sport modes and health monitoring. Long battery life and Bluetooth notifications.",200,70,100
T500 FitPro Smart Watch,smartwatches,"Fitness-focused smartwatch with heart rate blood oxygen monitor and sports tracking. Syncs with FitPro app.",170,60,100
T900 USmart Watch,smartwatches,"Feature-rich smartwatch with Bluetooth calling ECG heart rate and sleep monitoring. Full app support for iOS and Android.",265,95,100
PHONE Smart Watch with SIM Card,smartwatches,"SIM card-enabled smartwatch that functions as a standalone phone. Supports calls SMS and apps with large touchscreen.",730,260,100
T800 Ultra2 Smart Watch,smartwatches,"Slim smartwatch with HD display fitness tracking and Bluetooth notifications. Suitable for daily wear and workouts.",200,70,100
SU U9 Ultra Smart Watch,smartwatches,"Gold-edition premium smartwatch with AMOLED display health sensors and Bluetooth calling. High-end finish for daily use.",780,280,100
HX-Z1 Mini Fan,household,"Compact rechargeable mini fan with USB charging and adjustable angle. Suitable for desk personal and stroller cooling.",110,38.5,100
DD5007(M11) Mini Fan,household,"Portable USB-rechargeable mini fan with adjustable stand. Quiet multi-speed operation for personal desk cooling.",90,33,100
HK59-20A Mini Fan,household,"Small rechargeable clip fan with USB charging. Lightweight and suitable for desk or travel personal cooling.",55,20,168
HK59-21B Mini Fan,household,"Portable mini fan with adjustable clip and USB recharging. Multi-speed operation for personal cooling.",75,26.5,144
HX103 Mini Fan,household,"Compact rechargeable handheld fan with foldable base. USB-powered for personal desk and outdoor cooling.",75,26,144
SQ7777-2 Mini Fan,household,"Folding mini fan with multi-speed control and USB charging. Portable personal cooling for home office or travel.",80,28,120
ZB088B Mini Fan,household,"Compact clip-on mini fan with USB recharging and adjustable position. Quiet personal cooling for desk or stroller.",60,22,144
6826A Mini Fan,household,"Rechargeable portable mini fan with multi-speed settings. USB-powered for personal desk or outdoor cooling.",80,28.5,144
HK59 Mini Fan,household,"Compact USB-rechargeable personal mini fan with clip base. Lightweight and quiet for desk home or travel cooling.",65,23,144
LP5101 Mini Fan,household,"Small rechargeable clip-on fan with USB charging. Portable personal cooling for desk stroller or outdoor use.",60,21,144
5-Hole Air Cooler Fan,household,"5-nozzle misting fan for effective personal cooling. Combines fan and water mist for home or personal space use.",220,80,24
9L Air Conditioner Fan,household,"9-litre portable evaporative air cooler with mist spray and fan. Cools and humidifies a room for comfortable home use.",2100,750,4
GW-7622 Styling Comb,accessories,"Professional-grade heated styling comb for straightening and smoothing hair. Fast heat-up and consistent temperature control.",330,118,60
GW-7696 Hair Straightener,accessories,"Ceramic-plate hair straightener with adjustable temperature control. Straightens and styles hair quickly with reduced frizz.",220,78,60
GW-2215 Hair Straightener,accessories,"Mid-range ceramic hair straightener with floating plates. Suitable for all hair types with even heat distribution.",160,58,100
